@hubs
# A hub is a group of zones.
# ***** !!!!! SIZES INDICATE NUMBER OF INTERSECTIONS, NOT NUMBER OF POIS !!!!! *****
# ***** !!!!! DO NOT ABUSE MIN AND MAX, YOU WILL BREAK THE GENERATION !!!!! *****
# name,biomes,townships,zones,small_sizes,medium_sizes,large_sizes,prob,min,max
#    name: name of the hub
#    biomes: biomes where the hub can be generated
#    townships: townships of this hub
#    zones: zones contained by the hub
#    small_sizes: sizes the hub can have when users selects "small"
#    medium_sizes: sizes the hub can have when users selects "medium"
#    large_sizes: sizes the hub can have when users selects "large"
#    prob: probability of this hub being generated. A number between 0 and 1 is advisable, but it can be exceeded
#    min: minimum number of times this hub must be generated
#    max: maximum number of times this hub can be generated
default_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,10/20,30/40/50,60/70/80,1,,
default_single_city,burnt_forest/snow/pine_forest/desert/wasteland,city,residentialold/residentialnew/downtown/industrial/commercial,80/100/120,130/150/170,180/200/220,1,,
default_town,burnt_forest/snow/pine_forest/desert/wasteland,town,residentialold/residentialnew/industrial/commercial,5/10,10/15/20,30/40,1,,
default_village,burnt_forest/snow/pine_forest/desert/wasteland,village,residentialold/residentialnew/commercial,1/2,1/2/3/4/5,6/8/10,1,,
oldwest_village,desert,village,oldwest,2/3,3/4,4/5,0.5,,

@zones
# A zone is a group of POIs.
# ***** !!!!! DO NOT REPEAT THE SAME COLOR MULTIPLE TIMES !!!!! *****
# name,red,green,blue
#    name: name of the zone
#    red: red value of rgb color
#    green: green value of rgb color
#    blue: blue value of rgb color
residentialold,255,100,0 #orange
residentialnew,255,255,0 #yellow
downtown,0,255,0 #green
industrial,0,0,255 #blue
commercial,255,0,255 #purple
oldwest,161,81,0 #brown

#<name>,<x size>,<y size>,<z size>,<y offset>,<rotation to face north>,<allowed biomes>,<allowed townships>,<zones>,<min>,<max>
@pois
bar_stripclub_01,33,17,51,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial/downtown,,
bar_theater_01,40,21,43,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
barn_01,21,11,22,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
barn_02,36,15,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
barn_03,50,27,56,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
blueberryfield_sm,12,2,12,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial/residentialold,,
bluff01,15,10,19,-4,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
bombshelter_01,25,34,47,-13,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial,,
bombshelter_lg_01,27,22,37,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/town/rural,residentialold,,
bombshelter_md_01,29,22,34,-12,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/town/rural,residentialold,,
bridge_asphalt1,39,11,11,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
bridge_asphalt_broken,39,16,11,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
bridge_concrete1,39,11,11,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
bridge_wood1,39,11,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
bridge_wood2,32,10,7,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
bus_stop_01,29,5,9,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
bus_wreck_01,27,7,7,-4,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
business_burnt_01,28,25,35,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,industrial,,
business_burnt_02,38,27,34,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,industrial,,
business_old_01,19,18,47,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_02,23,28,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_03,28,21,50,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_04,29,25,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_05,25,23,39,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_06,28,19,65,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_07,23,19,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_old_08,27,26,42,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_strip_old_01,44,31,43,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_strip_old_02,51,23,43,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_strip_old_03,56,32,32,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
business_strip_old_04,39,32,32,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
cabin_01,26,15,33,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_02,24,17,37,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_03,33,17,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_04,29,16,33,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_05,37,21,41,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_06,39,20,32,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_07,42,19,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_08,38,20,38,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_09,28,19,34,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_10,27,13,52,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_11,38,26,42,-12,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_12,30,25,30,-3,0,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_13,28,16,39,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_14,40,20,40,-3,0,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
cabin_15,40,19,48,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,residentialold,,
canyon_car_wreck,8,6,10,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
canyon_cliff_dwellings,48,34,77,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
canyon_gift_shop,22,19,24,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
canyon_gift_shop_sign,3,12,14,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
canyon_mine,64,69,44,-55,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
carlot_01,42,18,50,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
carlot_02,45,21,53,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
cave_01,33,22,54,-16,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
cave_02,33,23,54,-16,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
cave_03,44,62,54,-32,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
cave_04,33,14,54,-11,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness,nozone,,
cave_05,26,19,61,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
cemetery_01,40,17,46,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew/residentialold/downtown,,
cemetery_02,40,32,46,-12,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew/residentialold/downtown,,
church_01,44,69,46,-23,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/resdentialold/downtown,,
church_graveyard1,54,30,60,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
church_sm_01,26,29,54,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
cornfield_lg,48,2,48,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial/residentialold,,
cornfield_med,24,2,24,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial/residentialold,,
cornfield_sm,12,2,12,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,wilderness/rural,industrial/residentialold,,
courthouse_med_01,54,61,46,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
culvert_01,21,15,45,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
deco_coal_vein,2,12,2,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,20,
deco_iron_vein,2,12,2,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,50,
deco_lead_vein,2,12,2,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,50,
deco_nitrate_vein,2,12,2,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,50,
deco_remnant_stone_01,7,11,8,0,3,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,300,
deco_remnant_stone_02,9,11,8,0,1,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,250,
deco_remnant_stone_03,9,14,9,0,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/industrial/downtown,150,
deco_remnant_stone_04,18,12,11,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
deco_remnant_wood_01,8,10,8,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_remnant_wood_02,6,7,7,0,3,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_rubble_stone_01,5,2,7,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_rubble_stone_02,9,3,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_rubble_stone_03,4,3,4,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_rubble_stone_04,7,15,7,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_rubble_stone_05,9,3,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
deco_shale_vein,2,12,2,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
departure_bridge_01,32,18,11,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
departure_bridge_02,16,18,11,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
departure_city_blk_01,103,12,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,devonly,,
departure_city_blk_plaza,103,19,103,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,downtown,,
departure_city_sign,3,14,13,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
desert_arch,24,9,8,-1,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
desert_form01,26,22,29,-3,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
desert_form02,9,9,10,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,biomeonly,,
diersville_city_blk_01,135,12,115,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
diersville_city_blk_02,135,12,115,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,,,
diersville_city_sign_01,3,14,13,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
diner_01,30,13,35,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial/downtown,,2
diner_02,37,18,40,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial/downtown,,
diner_03,40,23,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,commercial/downtown,,
docks_01,27,23,27,-11,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
docks_02,44,31,58,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
docks_03,53,32,54,-4,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
docks_04,12,27,25,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
docks_05,30,27,25,-8,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
factory_lg_01,92,56,98,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,industrial,,
factory_lg_02,96,77,96,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,industrial,,
fastfood_01,38,17,43,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
fastfood_02,45,24,56,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
fastfood_03,53,27,68,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
fastfood_04,33,17,51,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
fire_station_01,32,32,43,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
fire_station_02,38,20,44,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
football_stadium,173,44,138,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew,,3
funeral_home_01,35,27,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/residentialnew,,
garage_01,13,9,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
garage_02,14,9,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
garage_03,15,10,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
garage_04,28,10,39,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
garage_05,26,11,40,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
garage_06,29,13,38,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
garage_07,19,11,37,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
gas_station1,38,20,43,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station2,34,13,45,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station3,34,17,41,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station4,33,24,44,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station5,55,22,70,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station6,34,15,46,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,rural,commercial,,
gas_station7,34,15,33,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,rural,commercial,,
gas_station8,29,21,48,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gas_station9,59,13,82,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial,,
gravestowne_city_blk_01,103,12,103,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
gravestowne_city_blk_half,103,12,25,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
gravestowne_city_blk_quarter,25,12,25,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,
gravestowne_city_sign_01,3,14,17,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
gravestowne_street_crater_01,9,5,9,0,0,burnt_forest/snow/pine_forest/desert/wasteland,,navonly,,2
hospital_01,127,62,111,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,residentialnew/downtown,,
hotel_new_01,54,21,56,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
hotel_ostrich,45,48,45,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town,commercial/downtown,,
hotel_roadside_01,45,13,45,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
hotel_roadside_02,45,19,45,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/town/rural,commercial/downtown,,
house_burnt_01,26,22,42,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_burnt_02,31,22,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_burnt_03,34,16,33,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_burnt_04,43,25,28,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_burnt_05,26,20,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_burnt_06,28,25,36,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_construction_01,32,21,46,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_construction_02,28,17,53,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_01,37,18,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_02,37,16,70,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_03,47,19,55,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_04,36,20,56,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_05,45,20,72,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_06,35,12,56,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_07,37,16,52,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_08,38,16,50,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_09,42,16,45,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_10,36,20,46,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_11,37,21,43,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_12,29,17,36,-3,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_13,25,19,40,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_14,32,25,38,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_15,31,18,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_16,35,16,55,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_modern_17,28,19,41,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_bungalow_01,27,25,46,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_02,28,25,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_03,32,21,53,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialnew,,
house_old_bungalow_04,29,21,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_05,27,18,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_06,28,23,46,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_07,28,22,52,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_08,28,21,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_09,28,20,46,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_10,25,14,46,-2,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_11,36,43,46,-20,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_bungalow_12,23,21,46,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_gambrel_01,33,27,52,-10,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_gambrel_02,34,21,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_gambrel_03,49,44,84,-22,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_gambrel_04,25,20,42,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_01,42,26,52,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_02,42,30,49,-7,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_03,32,20,53,-4,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_04,28,21,46,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_05,30,20,46,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_mansard_06,44,33,98,-7,3,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_01,31,13,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_02,31,19,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_03,31,16,41,-6,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_04,31,10,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_05,31,11,41,-1,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
house_old_modular_06,31,14,41,-5,2,burnt_forest/snow/pine_forest/desert/wasteland,city/wilderness/town/rural,residentialold,,
